step,first quantile,median value,third quantile
4700000,-93.30000000000001,-84.89999999999999,-74.79999999999998
4800000,-93.30000000000001,-84.89999999999999,-74.79999999999998
4900000,-93.30000000000001,-84.89999999999999,-74.79999999999998
5000000,-93.30000000000001,-84.89999999999999,-74.79999999999998
5100000,-93.30000000000001,-84.89999999999999,-74.79999999999998
5200000,-93.30000000000001,-84.89999999999999,-74.79999999999998
5300000,-93.30000000000001,-84.89999999999999,-74.79999999999998
5400000,-93.30000000000001,-84.89999999999999,-74.79999999999998
5500000,-93.30000000000001,-84.89999999999999,-74.79999999999998
5600000,-93.30000000000001,-84.89999999999999,-74.79999999999998
5700000,-93.30000000000001,-84.89999999999999,-74.79999999999998
5800000,-93.30000000000001,-84.89999999999999,-74.79999999999998
5900000,-93.30000000000001,-84.89999999999999,-74.79999999999998
6000000,-93.30000000000001,-84.89999999999999,-74.79999999999998
6100000,-93.30000000000001,-84.89999999999999,-74.79999999999998
6200000,-93.30000000000001,-84.89999999999999,-74.79999999999998
6300000,-93.30000000000001,-84.89999999999999,-74.79999999999998
6400000,-93.30000000000001,-84.89999999999999,-74.79999999999998
6500000,-93.30000000000001,-84.89999999999999,-74.79999999999998
6600000,-93.30000000000001,-84.89999999999999,-74.79999999999998
6700000,-93.30000000000001,-84.89999999999999,-74.79999999999998
6800000,-93.30000000000001,-84.89999999999999,-74.79999999999998
6900000,-93.30000000000001,-84.89999999999999,-74.79999999999998
7000000,-93.30000000000001,-84.89999999999999,-74.79999999999998
7100000,-93.30000000000001,-84.89999999999999,-74.79999999999998
7200000,-93.30000000000001,-84.89999999999999,-74.79999999999998
7300000,-93.30000000000001,-84.89999999999999,-74.79999999999998
7400000,-93.30000000000001,-84.89999999999999,-74.79999999999998
7500000,-93.30000000000001,-84.89999999999999,-74.79999999999998
7600000,-93.30000000000001,-84.89999999999999,-74.79999999999998
7700000,-93.30000000000001,-84.89999999999999,-74.79999999999998
7800000,-93.30000000000001,-84.89999999999999,-74.79999999999998
7900000,-93.30000000000001,-84.89999999999999,-74.79999999999998
8000000,-93.30000000000001,-84.89999999999999,-74.79999999999998
8100000,-93.30000000000001,-84.89999999999999,-74.79999999999998
8200000,-93.30000000000001,-84.89999999999999,-74.79999999999998
8300000,-93.30000000000001,-84.89999999999999,-74.79999999999998
8400000,-93.30000000000001,-84.89999999999999,-74.79999999999998
8500000,-93.30000000000001,-84.89999999999999,-74.79999999999998
8600000,-93.30000000000001,-84.89999999999999,-74.79999999999998
8700000,-93.30000000000001,-84.89999999999999,-74.79999999999998
8800000,-93.30000000000001,-84.89999999999999,-74.79999999999998
8900000,-93.30000000000001,-84.89999999999999,-74.79999999999998
9000000,-93.30000000000001,-84.89999999999999,-74.79999999999998
9100000,-93.30000000000001,-84.89999999999999,-74.79999999999998
9200000,-93.30000000000001,-84.89999999999999,-74.79999999999998
9300000,-93.30000000000001,-84.89999999999999,-74.79999999999998
9400000,-93.30000000000001,-84.89999999999999,-74.79999999999998
9500000,-93.30000000000001,-84.89999999999999,-74.79999999999998
9600000,-93.30000000000001,-84.89999999999999,-74.79999999999998
9700000,-93.30000000000001,-84.89999999999999,-74.79999999999998
9800000,-93.30000000000001,-84.89999999999999,-74.79999999999998
9900000,-93.30000000000001,-84.89999999999999,-74.79999999999998
10000000,-93.30000000000001,-84.89999999999999,-74.79999999999998
